car_model,price,year_model,kms
Volkswagen Jetta 1.4 Tsi Highline,$103.900.000,2023,10.525
Volkswagen Jetta 2.0 Gli,$56.990.000,2014,76.600
Volkswagen Jetta 2.0 Comfortline,$51.900.000,2017,114.000
Volkswagen Jetta 2.5 Comfortline,$54.500.000,2016,68.800
Volkswagen Jetta 1.4 Tsi Highline,$103.900.000,2023,4.297
Volkswagen Jetta 2.5 Comfortline,$41.000.000,2013,90.925
Volkswagen Jetta 1.4 Tsi Sportline,$103.900.000,2023,4.000
Volkswagen Jetta Comfortline 2.000cc A/t C/a 2016,$47.900.000,2016,60.000
Volkswagen Jetta 2.5 Comfortline,$39.000.000,2013,110.000
Volkswagen Jetta 2.5 Highline,$69.900.000,2018,54.000
Volkswagen Jetta 1.4 Tsi Sportline,$90.500.000,2020,33.000
Volkswagen Jetta 2.0 Europa,$34.900.000,2014,103.000
Volkswagen Jetta 2.0 Europa,$30.000.000,2011,137.000
Volkswagen Jetta 2.0 Europa,$32.900.000,2014,43.500
Volkswagen Jetta 2.0 Comfortline,$44.900.000,2016,51.000
Volkswagen Jetta 1.4 Tsi Comfortline,$64.900.000,2019,30.000
Volkswagen Jetta 2.0 Trendline At,$33.900.000,2013,91.000
Volkswagen Jetta NUEVO JETTA TRENDLINE AT,$37.900.000,2012,84.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2013,88.000
Volkswagen Jetta 2.0 Trendline,$34.900.000,2013,120.000
Volkswagen Jetta 1.4 Tsi Comfortline,$96.000.000,2023,6.880
Volkswagen Jetta 1.4 Tsi Comfortline,$63.000.000,2019,40.000
Volkswagen Jetta TSI COMFORTLINE,$101.930.000,2023,7.829
Volkswagen Jetta 1.4 Tsi Comfortline,$101.000.000,2023,2.340
Volkswagen Jetta TSI COMFORTLINE,$99.900.000,2023,13.297
Volkswagen Jetta TSI COMFORTLINE,$99.900.000,2023,12.919
Volkswagen Jetta 2.0 Trendline,$29.000.000,2010,134.000
Volkswagen Jetta Trendline,$49.960.000,2017,79.759
Volkswagen Jetta 1.4 Tsi Comfortline,$81.400.000,2022,37.000
Volkswagen Jetta 2.0 Trendline,$24.800.000,2011,176.000
Volkswagen Jetta 2.0 Europa,$35.900.000,2015,100.000
Volkswagen Jetta 1.8 Gli,$45.000.000,2012,73.000
Volkswagen Jetta 1.4 Tsi Comfortline,$65.000.000,2020,56.000
Volkswagen Jetta 2.0 Trendline,$35.900.000,2014,118.000
Volkswagen Jetta 2.0 Comfortline,$51.000.000,2017,71.500
Volkswagen Jetta 2.0 Trendline,$57.000.000,2018,31.500
Volkswagen Jetta 2.0 Trendline,$28.900.000,2011,98.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2012,88.300
Volkswagen Jetta 2.0 Trendline,$33.900.000,2013,140.000
Volkswagen Jetta 1.4 Tsi Highline,$82.900.000,2020,82.000
Volkswagen Jetta 2.5 Trendline,$42.800.000,2014,56.000
Volkswagen Jetta 2.0 Trendline,$35.000.000,2013,79.490
Volkswagen Jetta 2.0 Europa,$34.900.000,2013,65.000
Volkswagen Jetta 2.0 Gli,$106.900.000,2020,42.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2009,136.000
Volkswagen Jetta 2.0 Europa,$36.900.000,2013,63.000
Volkswagen Jetta 1.4 Tsi Sportline,$85.900.000,2020,67.000
Volkswagen Jetta 1.4 Tsi Highline,$72.900.000,2019,63.200
"Volkswagen Jetta Trendline NF Mec 2,0",$45.800.000,2015,67.541
Volkswagen Jetta 1.4 Tsi Comfortline,$69.990.000,2020,75.000
Volkswagen Jetta 2.0 Trendline,$30.900.000,2011,125.000
Volkswagen Jetta 2.0 Gli,$130.000.000,2023,15.400
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$42.500.000,2014,131.784
Volkswagen Jetta Gli B2+ 2018,$98.000.000,2018,60.600
Volkswagen Jetta 2.0 Europa,$40.900.000,2015,67.000
Volkswagen Jetta 2.0 Europa,$40.900.000,2015,67.000
Volkswagen Jetta 1.4 Tsi Comfortline,$65.900.000,2019,75.000
Volkswagen Jetta 2.0 Comfortline,$48.900.000,2016,69.000
Volkswagen Jetta TRENDLINE  2000CC AT AA,$34.000.000,2011,108.200
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$34.500.000,2014,97.700
Volkswagen  New Jetta 2013,$38.500.000,2013,134.500
Volkswagen Jetta 2.0 Trendline,$31.900.000,2011,131.500
Volkswagen Jetta 2.0 Trendline,$31.900.000,2011,131.000
Volkswagen Jetta 2.5 Trendline,$43.900.000,2014,91.250
Volkswagen Jetta 1.8 Gli,$38.000.000,2014,119.000
Volkswagen Jetta 2.0 Gli,$109.500.000,2020,32.000
Volkswagen Jetta Comfortline 250 TSI AT,$120.990.000,2024,0
Volkswagen Jetta 2.0 Trendline,$28.900.000,2012,146.000
Volkswagen Jetta 2.0 Trendline,$26.000.000,2009,91.200
Volkswagen Jetta 2.5 Trendline,$37.500.000,2012,123.000
Volkswagen Jetta 2.0 Europa,$33.500.000,2015,75.200
Volkswagen Jetta 2.0 Comfortline,$49.000.000,2016,64.000
Volkswagen Jetta 2.0 Europa,$33.900.000,2014,87.342
