car_model,price,year_model,kms
Volkswagen Jetta 2.0 Trendline,$25.000.000,2007,119.000
Volkswagen Jetta 2.0 Europa,$29.800.000,2010,73.000
Volkswagen Jetta 2.0 Gli,$59.000.000,2014,80.400
Volkswagen Jetta 2.0 Europa,$32.000.000,2012,105.300
Volkswagen Jetta 2.0 Trendline 5 p,$38.000.000,2015,120.000
Volkswagen Jetta 2.5 Highline,$48.000.000,2015,117.000
Volkswagen Jetta 2.0 Comfortline,$42.900.000,2015,108.000
Volkswagen Jetta 2.0 Europa,$33.000.000,2012,42.000
Volkswagen Jetta 2.0 Europa,$39.000.000,2015,69.000
Volkswagen Jetta 2.0 Trendline,$26.000.000,2008,150.000
Volkswagen Jetta 2.0 Trendline,$29.500.000,2009,80.000
Volkswagen Jetta 2.0 Trendline,$33.000.000,2013,83.108
Volkswagen Jetta Tren Line AT,$35.800.000,2014,103.000
Volkswagen Jetta 2.5 Comfortline,$43.999.000,2014,81.500
Volkswagen Jetta 1.4 Tsi Comfortline,$69.500.000,2019,60.000
Volkswagen Jetta 2.0 Europa,$26.500.000,2009,144.000
Volkswagen Jetta 1.4 Tsi Sportline,$86.900.000,2019,43.500
Volkswagen Jetta 2.5 Comfortline,$38.500.000,2013,92.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2009,120.000
Volkswagen Jetta 1.4 Tsi Highline,$81.000.000,2020,51.000
Volkswagen Jetta 1.8 Gli,$39.900.000,2012,134.000
Volkswagen Jetta 2.0 Trendline 5 p,$38.000.000,2015,129.000
Volkswagen  Jetta 2.0 Caja Automatica 2007,$25.500.000,2007,182.000
Volkswagen Jetta 2.0 Trendline,$21.000.000,2006,122.000
Volkswagen Jetta 2.5 Highline,$50.000.000,2015,120.000
Volkswagen Jetta 2.0 Europa,$35.500.000,2015,78.000
Volkswagen Jetta 1.8 Gli,$42.000.000,2011,105.500
Volkswagen Jetta 2.0 Trendline,$23.990.000,2005,173.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2013,118.000
Volkswagen Jetta 2.5 Highline,$62.000.000,2017,79.000
Volkswagen Jetta 1.4 Tsi Highline,$72.900.000,2019,41.500
Volkswagen Jetta 2.0 Trendline,$29.000.000,2008,100.300
Volkswagen Jetta 2.0 Trendline,$28.990.000,2013,119.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2009,101.000
Volkswagen Jetta 2.0 Europa,$33.500.000,2015,110.000
Volkswagen Jetta 1.8 Gli,$45.000.000,2011,43.000
Volkswagen Jetta 2.5 Trendline,$39.000.000,2014,88.000
Volkswagen Jetta 2.0 Trendline,$26.500.000,2007,87.700
Volkswagen Jetta 2.0 Europa,$36.000.000,2015,58.000
Volkswagen Jetta 2.0 Trendline,$26.500.000,2010,141.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2011,91.000
Volkswagen Jetta 2.0 Europa,$35.500.000,2014,105.000
Volkswagen Jetta 1.4 Tsi Comfortline,$69.000.000,2020,41.000
Volkswagen Jetta 2.0 Trendline,$34.000.000,2013,102.000
Volkswagen Jetta 2.0 Europa,$35.500.000,2015,71.000
Volkswagen Jetta 2.0 Europa,$28.000.000,2011,119.000
Volkswagen Jetta 2.0 Europa,$37.900.000,2015,59.200
Volkswagen Jetta 2.0 Trendline,$27.000.000,2009,113.000
Volkswagen Jetta 2.0 Trendline,$38.000.000,2013,119.000
Volkswagen Jetta 2.0 Trendline,$38.000.000,2013,78.000
Volkswagen Jetta 1.8 Gli,$50.000.000,2014,59.000
Volkswagen Jetta 1.8 Gli,$41.000.000,2012,90.000
Volkswagen Jetta 2.0 Trendline,$27.600.000,2010,145.000
Volkswagen Jetta 2.0 Trendline 4 p,$43.000.000,2015,59.500
Volkswagen Jetta 2.0 Trendline,$61.000.000,2018,36.000
Volkswagen Jetta 2.0 Comfortline,$45.000.000,2015,77.000
Volkswagen Jetta 2.0 Trendline,$25.000.000,2007,143.000
Volkswagen Jetta 1.8 Comfortline,$24.900.000,2009,105.115
Volkswagen Jetta 2.0 Europa,$38.990.000,2014,97.000
Volkswagen Jetta 1.4 Tsi Comfortline,$62.900.000,2019,70.000
Volkswagen Jetta 2.0 Gli,$59.000.000,2013,57.000
Volkswagen Jetta 2.5 Trendline,$41.000.000,2012,89.000
Volkswagen Jetta 1.4 Tsi Comfortline,$73.900.000,2020,35.000
Volkswagen Jetta 2.0 Europa,$42.000.000,2015,38.500
Volkswagen Jetta 2.0 Trendline,$31.000.000,2013,188.000
Volkswagen Jetta 1.8 Turbo Modelo 2009,$33.000.000,2009,103.500
Volkswagen Jetta 1.8 Comfortline,$27.900.000,2002,150.000
Volkswagen Jetta 2.5 Comfortline,$38.000.000,2011,122.800
Volkswagen Jetta 2.0 Trendline,$34.000.000,2012,133.000
Volkswagen Jetta trendline 2.0,$32.500.000,2008,80.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2013,105.000
Volkswagen Jetta 2.0 Trendline 4 p 114 hp,$33.000.000,2014,96.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2008,110.000
Volkswagen Jetta 1.4 Tsi Comfortline,$68.000.000,2019,50.000
Volkswagen Jetta 2.0 Trendline,$38.500.000,2016,97.000
Volkswagen Jetta 2.0 Trendline,$43.000.000,2013,58.000
Volkswagen Jetta 2.0 Europa,$37.000.000,2015,58.000
Volkswagen Jetta 2.0 Trendline,$28.500.000,2006,60.400
Volkswagen Jetta 2.0 Trendline,$27.000.000,2011,119.000
Volkswagen Jetta 2.0 Trendline,$25.000.000,2009,142.000
Volkswagen Jetta 2.0 Europa,$34.000.000,2015,104.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2009,145.000
Volkswagen Jetta 1.4 Tsi Comfortline,$58.500.000,2020,52.000
Volkswagen Jetta 1.4 Tsi Comfortline,$58.500.000,2020,52.000
Volkswagen Jetta 2.0 Trendline 4 p,$40.900.000,2015,69.900
Volkswagen Jetta 1.4 Tsi Highline,$115.900.000,2023,2.500
Volkswagen Jetta 2.0 Europa,$37.800.000,2014,57.000
Volkswagen Jetta 2.0 Gli,$55.900.000,2013,89.700
Volkswagen Jetta 2.0 Classic,$22.000.000,2006,193.000
Volkswagen Jetta 1.8 Gli,$45.000.000,2014,107.000
Volkswagen Jetta 1.4 Tsi Comfortline,$70.000.000,2020,38.000
Volkswagen Jetta Clásico ,$21.000.000,2006,175.000
Volkswagen Jetta 2.0 Trendline,$31.500.000,2010,125.000
Volkswagen Jetta 2.5 Dtm Edition,$46.000.000,2014,106.000
Volkswagen Jetta 2.0 Trendline 5 p,$42.000.000,2015,77.600
Volkswagen Jetta 2.0 Trendline,$27.500.000,2007,108.500
Volkswagen Jetta 2.5 Trendline,$43.000.000,2014,90.500
Volkswagen Jetta 2.0 Trendline,$20.000.000,2009,136.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2014,96.000
Volkswagen Jetta 1.8 Gli,$50.000.000,2014,97.000
Volkswagen Jetta 2.5 Comfortline,$44.950.000,2014,159.500
Volkswagen Jetta 2.5 Comfortline,$49.500.000,2012,150.000
Volkswagen Jetta 2.0 Europa,$33.500.000,2013,100.000
Volkswagen Jetta 2.0 Trendline,$28.500.000,2010,120.000
Volkswagen Jetta 2.0 Trendline,$20.500.000,2006,195.000
Volkswagen Jetta 2.0 Europa,$29.000.000,2012,135.000
Volkswagen Jetta 1.4 Tsi Comfortline,$75.000.000,2019,22.000
Volkswagen Jetta Clásico 2.0,$30.000.000,2009,165.100
Volkswagen Jetta 2.0 Trendline,$22.000.000,2008,116.000
Volkswagen Jetta 1.8 Gli,$39.900.000,2013,112.000
Volkswagen Jetta 2.0 Europa,$41.000.000,2015,53.644
Volkswagen Jetta 1.8 Gli,$30.000.000,2011,150.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$42.000.000,2014,108.899
Volkswagen new jetta trendline jetta trendline,$34.999.999,2011,194.000
Volkswagen Jetta 2.0 Trendline,$29.000.000,2009,92.400
Volkswagen Jetta 2.0 Gli,$59.900.000,2013,115.000
Volkswagen Jetta 2.0 Trendline,$49.490.000,2017,44.000
Volkswagen Jetta Clásico,$30.900.000,2012,145.000
Volkswagen Jetta 1.4 Tsi Comfortline,$88.950.000,2022,10.800
Volkswagen Jetta 2.5 Comfortline,$41.000.000,2012,85.221
Volkswagen Jetta 2.0 Trendline,$53.000.000,2017,48.000
Volkswagen Jetta 2.0 Comfortline,$42.000.000,2015,90.000
Volkswagen Jetta 1.4 Tsi Sportline,$75.000.000,2019,36.000
Volkswagen Jetta 2.0 Trendline,$35.000.000,2013,119.000
Volkswagen Jetta 1.4 Tsi Sportline,$77.000.000,2019,69.100
Volkswagen Jetta 2.5 Trendline,$40.900.000,2013,118.000
wolkswagen Jetta 2.0,$28.000.000,2008,118.000
Volkswagen Jetta Clásico. Trendline. Automático. ,$39.000.000,2014,93.000
Volkswagen Jetta 2.0 Trendline,$25.800.000,2009,145.800
Volkswagen Jetta 2.5 Comfortline,$37.500.000,2011,95.000
Volkswagen Jetta 2.0 Comfortline,$48.000.000,2015,84.000
Volkswagen Jetta 1.4 Tsi Comfortline,$60.000.000,2019,75.000
Volkswagen Jetta 1.8 Gli,$49.000.000,2014,62.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2015,103.200
Volkswagen Jetta 2.0 Trendline,$50.000.000,2017,80.000
Volkswagen Jetta 2.0 Gli,$60.000.000,2014,60.800
Volkswagen Jetta 2.0 Europa,$32.000.000,2015,78.000
Volkswagen Jetta Automático,$17.800.000,2007,193.162
Volkswagen Jetta 1.8 Gli,$40.500.000,2011,134.700
Volkswagen Jetta 2.0 Trendline 4 p,$41.500.000,2015,101.000
Volkswagen Jetta 2.5 Comfortline,$39.200.000,2011,91.300
Volkswagen Jetta 2.5 Comfortline,$39.000.000,2012,127.000
Volkswagen Jetta 2.0 Europa,$30.000.000,2013,110.000
Volkswagen Jetta 2.0 Europa,$40.500.000,2015,58.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2009,86.000
Volkswagen Jetta 2.5 Comfortline,$44.000.000,2012,90.000
Volkswagen Jetta 2.5 Comfortline,$45.000.000,2013,58.000
Volkswagen Jetta 1.8 Gli,$51.000.000,2014,86.000
Volkswagen Jetta Nuevo Jetta 2.0 trendline,$45.000.000,2014,105.000
Volkswagen Jetta 2.5 Comfortline,$38.900.000,2012,107.000
Volkswagen Jetta 2.0 Trendline 4 p,$38.000.000,2015,80.670
Volkswagen Jetta 2.0 Comfortline,$71.000.000,2020,52.500
Volkswagen Jetta 1.4 Tsi Comfortline,$65.500.000,2020,45.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2009,103.062
Volkswagen Jetta 2.5 Trendline,$35.000.000,2013,132.500
Volkswagen Jetta 1.9 Tdi,$24.000.000,2000,208.000
Volkswagen Jetta 2.0 Europa,$36.800.000,2015,102.000
Volkswagen Jetta 1.4 Tsi Comfortline,$68.500.000,2019,22.100
Volkswagen Jetta 2.0 Trendline,$30.000.000,2012,140.000
Volkswagen Jetta 1.8 Gli,$46.000.000,2012,70.000
Volkswagen Jetta 1.8 Gli,$45.000.000,2012,112.000
Volkswagen Jetta 2.0 Comfortline,$58.000.000,2018,66.000
Volkswagen Jetta 2.0 Trendline 4 p,$44.800.000,2015,99.000
Volkswagen Jetta 1.8 Gli,$45.000.000,2013,111.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2011,268.825
Volkswagen Jetta 2.0 Trendline 5 p,$34.300.000,2015,75.843
Volkswagen Jetta 1.8 Gli,$42.000.000,2012,93.100
Volkswagen Jetta 2.5 Trendline,$39.700.000,2012,81.661
Jetta,$43.000.000,2014,117.000
Volkswagen,$27.500.000,2010,Publicado
Volkswagen Jetta New Jetta,$44.000.000,2014,92.000
Volkswagen Jetta 2.5 Comfortline,$48.500.000,2014,76.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2008,134.633
Volkswagen Jetta 2.0 Trendline,$28.500.000,2010,107.000
Volkswagen Jetta 1.8 Gli,$33.000.000,2014,107.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2014,137.100
Volkswagen Jetta 2.0 Trendline 4 p 114 hp,$38.000.000,2014,108.000
Volkswagen Jetta 2.0 Gli,$59.000.000,2013,91.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2011,160.000
Volkswagen Jetta 2.0 Trendline 5 p,$42.500.000,2015,77.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2008,98.000
Volkswagen Jetta 2.5 Comfortline,$50.000.000,2014,92.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2015,110.000
Volkswagen Jetta 1.4 Tsi Comfortline,$92.000.000,2023,12.000
Volkswagen Jetta 2.0 Trendline,$26.000.000,2008,98.200
Volkswagen Jetta 2.5 Comfortline,$45.500.000,2013,66.000
Volkswagen Jetta 2.0 Trendline,$33.900.000,2013,95.000
Volkswagen Jetta 2.0 Trendline,$24.000.000,2008,108.500
Volkswagen Jetta 1.8 Gli,$44.700.000,2012,73.000
Volkswagen Jetta 2.0 Europa,$39.500.000,2015,77.300
Volkswagen Jetta 2.5 Trendline,$43.000.000,2012,109.000
Volkswagen Jetta 2.0 Trendline,$34.850.000,2013,120.000
Volkswagen Jetta 1.4 Tsi Comfortline,$66.500.000,2019,47.000
Volkswagen Jetta 1.8 Gli,$42.000.000,2013,79.000
Volkswagen Jetta 1.4 Tsi Highline,$75.900.000,2020,55.800
Volkswagen Jetta 2.0 Trendline,$36.000.000,2012,65.000
Volkswagen Jetta 2.5 Comfortline,$35.500.000,2012,105.700
Volkswagen Jetta 2.0 Europa,$29.000.000,2015,98.600
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$27.000.000,2014,215.000
Volkswagen Jetta 1.4 Tsi Comfortline,$64.000.000,2019,65.000
Volkswagen Jetta 2.0 Europa,$34.000.000,2015,104.000
Volkswagen Jetta 2.0 Trendline,$29.900.000,2013,139.000
Volkswagen Jetta 2.0 Trendline,$56.900.000,2018,53.895
Volkswagen Jetta 2.5 Trendline,$46.500.000,2014,62.500
Volkswagen Jetta 1.8 Gli,$41.500.000,2012,113.200
Volkswagen Jetta 2.0 Trendline 5 p,$48.000.000,2015,53.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2010,175.000
Volkswagen Jetta 2.0 Europa,$29.000.000,2015,98.600
Volkswagen Jetta 2.0 Trendline,$32.000.000,2011,180.000
Volkswagen Jetta 2.0 Trendline,$29.000.000,2009,98.000
Volkswagen Jetta 2.0 Trendline,$25.000.000,2007,108.000
Volkswagen Jetta 2.0 Europa,$33.000.000,2015,86.000
Volkswagen Jetta 2.5 Comfortline,$48.000.000,2016,55.000
Volkswagen Jetta 2.0 Europa,$26.300.000,2011,130.000
Volkswagen Jetta 2.5 Comfortline,$45.000.000,2013,80.000
Volkswagen Jetta 1.8 Gli,$50.000.000,2012,100.000
Volkswagen Jetta 2.0 Trendline,$24.800.000,2007,136.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2012,118.000
Volkswagen Jetta 2.0 Wolfsburg,$27.500.000,2009,107.000
Volkswagen Jetta 2.0 Trendline,$25.000.000,2009,198.000
Volkswagen Jetta 1.4 Tsi Highline,$76.000.000,2019,60.000
Volkswagen Jetta 2.0 Europa,$34.000.000,2013,61.083
Volkswagen Jetta 2.0 Comfortline,$57.900.000,2015,35.000
Volkswagen Jetta 1.4 Tsi Sportline,$78.000.000,2020,51.000
Volkswagen Jetta 2.5 Comfortline,$62.000.000,2016,81.057
Volkswagen Jetta 2.0 Trendline,$55.000.000,2017,21.200
Volkswagen Jetta 2.0 Trendline automatico,$52.000.000,2018,93.600
Volkswagen Jetta 2.5 Comfortline,$42.000.000,2014,60.000
Volkswagen Jetta 2.0 Comfortline,$50.000.000,2017,77.000
Volkswagen Jetta 2.0 Trendline Automatico Blindaje 3,$21.990.000,2006,100.000
Volkswagen Jetta 2.0 Trendline Mecánico,$13.990.000,2005,120.000
